Date,Customer,Country,Product,Business_Line,Sales_Amount,Sales_Amount_Target,Sales_Margin,Sales_Quantity
2009-02-18 00:00:00,Vijay,Germany,S12_1680,Truks And Buses,6959,7613,11,6
2009-06-21 00:00:00,Kishan,Australia,S14_1681,Classic cars,10654,16773,19,74
2009-11-28 00:00:00,Vijay,France,S14_1681,Vintage cars,11118,11367,10,43
2005-02-21 00:00:00,Raja,Austria,S12_1680,Classic cars,4815,12703,34,69
2011-11-12 00:00:00,Kishan,Austria,S13_1681,Motarcycles,8518,8913,25,66
2009-11-22 00:00:00,Kishan,India,S10_1678,Trains,8946,11293,49,7
2008-10-16 00:00:00,Mahesh,Brazil,S11_1679,Classic cars,11169,19586,33,14
2005-07-22 00:00:00,Ravi,Netherlands,S16_1683,Trains,11996,13390,39,20
2012-03-10 00:00:00,Mahesh,Australia,S13_1681,Trains,7378,6519,16,30
2009-03-14 00:00:00,Praveen,India,S10_1678,Classic cars,7382,13269,28,73
2005-09-09 00:00:00,Suban,Canada,S10_1678,Plans,9844,13966,35,79
2010-07-17 00:00:00,Abhi,Germany,S12_1680,Plans,4028,19114,33,68
2010-10-04 00:00:00,Shafi,Austria,S15_1682,Truks And Buses,7683,11576,23,10
2007-12-15 00:00:00,Kishan,Canada,S15_1682,Classic cars,10744,9009,47,9
2005-01-27 00:00:00,Kalyan,Germany,S11_1679,Classic cars,7756,18032,32,35
2010-04-16 00:00:00,Ravi,Germany,S14_1681,Trains,11858,16314,40,31
2012-12-28 00:00:00,Ramu,Switzerland,S10_1678,Vintage cars,8503,9906,37,39
2009-12-09 00:00:00,Suban,India,S13_1681,Motarcycles,9004,18762,41,32
2011-05-16 00:00:00,Praveen,Netherlands,S10_1678,Motarcycles,3911,10620,22,65
2010-12-04 00:00:00,Ravi,Canada,S10_1678,Trains,4778,13287,44,24
2010-09-08 00:00:00,Vijay,Germany,S14_1681,Vintage cars,5143,15616,30,35
2009-07-04 00:00:00,Vijay,Brazil,S14_1681,Classic cars,10560,17422,49,67
2012-02-17 00:00:00,Praveen,India,S12_1680,Motarcycles,4867,16908,36,5
2005-11-28 00:00:00,Ramu,Australia,S11_1679,Plans,7627,18502,36,70
2009-11-03 00:00:00,Vijay,Germany,S15_1682,Vintage cars,4823,6072,11,20
2010-01-19 00:00:00,Kiran,Canada,S15_1682,Vintage cars,9652,11273,20,39
2008-04-13 00:00:00,Iliyaz,Germany,S12_1680,Trains,4066,7611,50,40
2006-12-23 00:00:00,Ramu,Austria,S11_1679,Vintage cars,7750,11732,50,62
2005-06-19 00:00:00,Vijay,Netherlands,S12_1680,Classic cars,10198,6301,32,27
2010-03-27 00:00:00,Suban,Australia,S16_1683,Motarcycles,11477,6057,38,43
2011-12-12 00:00:00,Snidha,France,S10_1678,Truks And Buses,8608,16204,21,65
2012-05-12 00:00:00,Kalyan,Australia,S16_1683,Motarcycles,4766,6583,11,7
2010-03-03 00:00:00,Ravi,Australia,S15_1682,Classic cars,5618,11697,43,71
2005-12-04 00:00:00,Ramu,Netherlands,S12_1680,Motarcycles,8997,19155,45,7
2006-02-27 00:00:00,Vijay,India,S11_1679,Trains,6198,13763,35,47
2005-04-03 00:00:00,Mahesh,Australia,S13_1681,Ships,6690,5467,16,62
2005-10-27 00:00:00,Raja,Brazil,S12_1680,Truks And Buses,7384,14533,41,41
2009-04-02 00:00:00,Abhi,Australia,S11_1679,Motarcycles,7529,17876,25,64
2006-09-11 00:00:00,Raja,Brazil,S13_1681,Ships,3298,13036,47,37
2009-10-08 00:00:00,Kishan,Netherlands,S10_1678,Motarcycles,7423,8117,35,40
2005-04-28 00:00:00,Ramu,Switzerland,S16_1683,Classic cars,9695,7770,28,11
2007-06-14 00:00:00,Kiran,France,S14_1681,Plans,7281,5202,30,9
2007-03-29 00:00:00,Shafi,Australia,S13_1681,Ships,11724,5823,29,21
2010-11-22 00:00:00,Kishan,Switzerland,S16_1683,Truks And Buses,4815,8738,45,19
2010-05-15 00:00:00,Shafi,Germany,S12_1680,Vintage cars,11067,8749,24,29
2008-02-19 00:00:00,Mahesh,Austria,S10_1678,Vintage cars,3682,15569,28,75
2005-01-03 00:00:00,Iliyaz,Brazil,S16_1683,Trains,6055,18504,24,74
2010-07-24 00:00:00,Suban,Australia,S14_1681,Ships,10423,13771,36,21
2009-11-06 00:00:00,Praveen,Brazil,S13_1681,Plans,6657,16575,50,17
2012-08-14 00:00:00,Kiran,Switzerland,S10_1678,Motarcycles,10923,13036,37,64
2008-07-01 00:00:00,Kalyan,Netherlands,S14_1681,Truks And Buses,11030,15346,39,69
2006-09-27 00:00:00,Vijay,Switzerland,S15_1682,Motarcycles,6306,7597,44,31
2005-06-25 00:00:00,Kishan,Brazil,S14_1681,Motarcycles,11320,5784,15,23
2012-09-17 00:00:00,Kalyan,Netherlands,S16_1683,Trains,3901,5459,37,34
2008-08-15 00:00:00,Kishan,India,S13_1681,Vintage cars,6476,13594,19,22
2011-09-20 00:00:00,Ramu,Canada,S10_1678,Classic cars,11385,6597,41,26
2009-05-03 00:00:00,Kalyan,Canada,S13_1681,Motarcycles,9759,14106,20,19
2012-12-17 00:00:00,Iliyaz,Switzerland,S14_1681,Truks And Buses,4806,12370,19,39
2008-09-05 00:00:00,Iliyaz,Switzerland,S16_1683,Classic cars,9959,12431,49,46
2007-04-21 00:00:00,Abhi,Austria,S16_1683,Ships,4964,11268,16,25
2008-11-03 00:00:00,Shafi,Austria,S12_1680,Ships,8722,15281,18,6
2008-07-04 00:00:00,Ravi,Australia,S16_1683,Motarcycles,7607,8793,48,60
2011-09-24 00:00:00,Suban,India,S12_1680,Trains,11879,15018,33,17
2009-11-27 00:00:00,Mahesh,Australia,S13_1681,Plans,6308,19772,26,57
2008-11-29 00:00:00,Raja,Austria,S13_1681,Ships,10358,13055,14,15
2005-10-18 00:00:00,Praveen,Canada,S13_1681,Classic cars,3422,19786,34,76
2011-12-19 00:00:00,Praveen,Canada,S10_1678,Ships,11806,17580,13,32
2005-09-02 00:00:00,Praveen,Germany,S11_1679,Plans,9286,9286,34,64
2006-02-17 00:00:00,Raja,Netherlands,S11_1679,Classic cars,6411,10696,39,6
2006-10-23 00:00:00,Praveen,Austria,S10_1678,Vintage cars,8703,15649,40,51
2006-01-22 00:00:00,Kalyan,Switzerland,S10_1678,Ships,4468,10667,47,40
2009-09-21 00:00:00,Raja,Germany,S10_1678,Plans,6981,17933,37,56
2011-08-21 00:00:00,Vijay,Australia,S12_1680,Vintage cars,3225,15406,38,67
2007-10-03 00:00:00,Kishan,India,S14_1681,Motarcycles,6111,12914,32,46
2006-04-29 00:00:00,Shafi,India,S16_1683,Vintage cars,7146,16778,23,5
2009-07-22 00:00:00,Mahesh,Netherlands,S14_1681,Truks And Buses,9082,10492,40,31
2010-04-23 00:00:00,Shafi,Brazil,S16_1683,Motarcycles,4290,13836,20,8
2012-07-02 00:00:00,Iliyaz,Netherlands,S12_1680,Vintage cars,8967,15438,39,47
2010-02-08 00:00:00,Ravi,Switzerland,S16_1683,Motarcycles,8257,15292,21,80
2010-08-21 00:00:00,Suban,Germany,S15_1682,Classic cars,7247,19358,20,68
2008-03-26 00:00:00,Praveen,Austria,S13_1681,Truks And Buses,11187,13971,11,73
2008-08-03 00:00:00,Kalyan,Switzerland,S11_1679,Vintage cars,8132,11698,26,11
2009-05-01 00:00:00,Mahesh,Australia,S13_1681,Truks And Buses,9157,9642,15,11
2009-10-05 00:00:00,Mahesh,France,S15_1682,Trains,4102,18974,28,50
2010-01-15 00:00:00,Snidha,Canada,S15_1682,Trains,3410,5761,43,29
2008-11-26 00:00:00,Raja,France,S15_1682,Trains,8149,5643,29,79
2012-04-01 00:00:00,Mahesh,Germany,S13_1681,Ships,9512,17347,31,70
2008-10-17 00:00:00,Shafi,Netherlands,S12_1680,Ships,7792,9152,22,73
2010-03-21 00:00:00,Vijay,Germany,S14_1681,Vintage cars,6032,12333,42,15
2010-05-14 00:00:00,Kishan,Austria,S14_1681,Vintage cars,6438,19583,46,23
2010-07-11 00:00:00,Shafi,Germany,S12_1680,Motarcycles,10657,14304,17,77
2012-10-18 00:00:00,Kalyan,Switzerland,S10_1678,Motarcycles,4579,7826,40,41
2008-03-15 00:00:00,Mahesh,Germany,S11_1679,Ships,11789,18844,21,40
2008-01-19 00:00:00,Kalyan,Switzerland,S15_1682,Ships,8232,7455,31,21
2005-05-07 00:00:00,Kalyan,Brazil,S14_1681,Trains,6573,6052,13,69
2012-11-16 00:00:00,Ravi,Australia,S13_1681,Motarcycles,6711,10630,45,49
2012-05-03 00:00:00,Abhi,Brazil,S12_1680,Truks And Buses,8512,13935,40,53
2008-09-01 00:00:00,Ravi,Australia,S14_1681,Plans,8763,18088,36,49
2011-04-17 00:00:00,Abhi,Canada,S16_1683,Truks And Buses,9577,19468,36,9
2007-02-02 00:00:00,Ravi,Australia,S10_1678,Motarcycles,5142,19478,28,5
2012-12-28 00:00:00,Raja,France,S15_1682,Vintage cars,3342,14539,17,51
2011-04-22 00:00:00,Kishan,Australia,S12_1680,Trains,6190,8861,30,76
2010-10-25 00:00:00,Ramu,Germany,S15_1682,Vintage cars,9143,18889,14,48
2011-11-16 00:00:00,Ravi,Brazil,S13_1681,Trains,8441,9802,46,44
2006-08-24 00:00:00,Suban,Canada,S12_1680,Truks And Buses,7317,7322,13,61
2009-12-11 00:00:00,Ramu,Netherlands,S11_1679,Classic cars,3273,12490,33,45
2005-06-22 00:00:00,Shafi,Austria,S11_1679,Vintage cars,6841,8539,32,17
2011-02-21 00:00:00,Kiran,Austria,S13_1681,Motarcycles,11621,8438,22,61
2006-01-12 00:00:00,Abhi,France,S14_1681,Truks And Buses,9680,9777,27,40
2012-05-15 00:00:00,Kalyan,France,S13_1681,Plans,11872,6432,32,66
2012-01-06 00:00:00,Kiran,Canada,S10_1678,Plans,5277,8679,48,33
2007-06-12 00:00:00,Ravi,India,S15_1682,Ships,9536,19412,29,9
2011-06-14 00:00:00,Shafi,Switzerland,S15_1682,Plans,9171,6715,25,42
2010-09-25 00:00:00,Praveen,Switzerland,S11_1679,Classic cars,8536,5960,37,28
2007-07-13 00:00:00,Iliyaz,Switzerland,S16_1683,Ships,5540,6704,34,33
2005-03-25 00:00:00,Raja,Netherlands,S13_1681,Plans,3830,8498,32,41
2009-01-04 00:00:00,Ravi,Austria,S16_1683,Motarcycles,4570,17798,12,41
2010-07-04 00:00:00,Iliyaz,France,S15_1682,Ships,4635,11077,13,49
2005-08-29 00:00:00,Kalyan,Australia,S14_1681,Plans,5066,12348,44,59
2009-09-10 00:00:00,Ravi,Australia,S14_1681,Truks And Buses,5421,17979,27,19
2008-06-07 00:00:00,Snidha,Germany,S16_1683,Motarcycles,7621,12796,10,17
2006-01-23 00:00:00,Vijay,Brazil,S10_1678,Motarcycles,10295,6747,39,62
2012-03-07 00:00:00,Abhi,Switzerland,S14_1681,Vintage cars,10063,9029,40,59
2006-05-24 00:00:00,Shafi,Brazil,S12_1680,Vintage cars,7707,15087,20,48
2009-12-29 00:00:00,Mahesh,Germany,S12_1680,Ships,7690,11037,10,16
2009-04-20 00:00:00,Kalyan,France,S10_1678,Vintage cars,4144,10549,38,80
2011-11-02 00:00:00,Ramu,Germany,S14_1681,Plans,9933,6659,25,46
2012-08-26 00:00:00,Vijay,Australia,S12_1680,Truks And Buses,4667,6909,30,50
2005-10-05 00:00:00,Shafi,India,S15_1682,Plans,3630,6124,11,66
2005-11-23 00:00:00,Kiran,Austria,S11_1679,Truks And Buses,6871,11706,25,30
2005-02-04 00:00:00,Suban,Canada,S16_1683,Classic cars,5297,11834,31,61
2010-07-25 00:00:00,Vijay,Australia,S15_1682,Vintage cars,4362,17045,29,29
2006-08-17 00:00:00,Shafi,Brazil,S11_1679,Trains,11543,7544,35,51
2012-06-12 00:00:00,Iliyaz,Switzerland,S15_1682,Trains,9644,7908,12,67
2007-06-27 00:00:00,Ramu,Brazil,S10_1678,Vintage cars,7971,13329,26,16
2010-07-21 00:00:00,Kalyan,Netherlands,S10_1678,Ships,7398,11890,27,32
2008-03-15 00:00:00,Snidha,Canada,S11_1679,Trains,5083,7878,38,26
2009-08-28 00:00:00,Kalyan,Australia,S13_1681,Classic cars,11018,17564,29,19
2006-01-27 00:00:00,Vijay,Australia,S12_1680,Ships,6887,6473,44,40
2010-09-28 00:00:00,Kiran,Netherlands,S11_1679,Truks And Buses,11502,11414,26,10
2012-10-22 00:00:00,Ramu,Brazil,S15_1682,Truks And Buses,3205,6437,11,47
2009-06-05 00:00:00,Suban,Brazil,S10_1678,Classic cars,11528,19690,44,23
2005-08-07 00:00:00,Raja,India,S12_1680,Truks And Buses,11300,13945,20,39
2012-03-13 00:00:00,Kishan,Switzerland,S14_1681,Vintage cars,11275,11927,47,32
2012-02-15 00:00:00,Raja,France,S11_1679,Classic cars,6753,14510,29,15
2012-03-26 00:00:00,Snidha,Brazil,S12_1680,Classic cars,8502,5325,25,14
2012-09-21 00:00:00,Ravi,Canada,S16_1683,Classic cars,4021,13405,12,40
2007-04-06 00:00:00,Praveen,Austria,S10_1678,Truks And Buses,7386,14084,34,32
2006-01-21 00:00:00,Abhi,Austria,S15_1682,Ships,9861,12410,35,28
2005-05-05 00:00:00,Iliyaz,Canada,S12_1680,Classic cars,8386,13465,28,68
2012-08-18 00:00:00,Ravi,Austria,S10_1678,Vintage cars,4633,19220,14,72
2011-03-07 00:00:00,Snidha,Canada,S13_1681,Trains,10252,9290,27,54
2011-03-25 00:00:00,Kishan,Austria,S16_1683,Truks And Buses,6872,13530,13,42
2007-10-25 00:00:00,Raja,Netherlands,S13_1681,Plans,7700,7199,34,33
2006-09-19 00:00:00,Vijay,Switzerland,S11_1679,Plans,8897,13270,13,70
2009-08-14 00:00:00,Iliyaz,Switzerland,S16_1683,Classic cars,5119,11117,13,53
2007-01-13 00:00:00,Kiran,Brazil,S14_1681,Vintage cars,8900,10739,28,10
2007-08-20 00:00:00,Suban,Australia,S16_1683,Classic cars,3346,12029,23,21
2008-06-08 00:00:00,Kalyan,Austria,S10_1678,Vintage cars,4445,9927,41,55
2006-11-28 00:00:00,Suban,Brazil,S11_1679,Vintage cars,8822,16284,27,31
2012-02-07 00:00:00,Raja,Netherlands,S15_1682,Vintage cars,4538,16625,19,14
2012-08-17 00:00:00,Kiran,France,S16_1683,Classic cars,8247,7285,27,62
2012-06-09 00:00:00,Abhi,Australia,S10_1678,Vintage cars,9096,6082,35,76
2005-04-18 00:00:00,Snidha,Germany,S16_1683,Motarcycles,3018,8875,22,19
2012-11-05 00:00:00,Vijay,Netherlands,S14_1681,Plans,5821,11829,33,79
2009-11-03 00:00:00,Vijay,France,S12_1680,Plans,8986,8076,34,75
2010-01-09 00:00:00,Ravi,Canada,S10_1678,Plans,9411,9351,24,79
2012-07-19 00:00:00,Iliyaz,Australia,S16_1683,Trains,10548,9298,46,73
2005-01-06 00:00:00,Kishan,Germany,S16_1683,Motarcycles,8493,9038,38,64
2012-09-23 00:00:00,Kishan,Brazil,S15_1682,Trains,3138,11397,17,27
2006-03-19 00:00:00,Snidha,Germany,S15_1682,Vintage cars,8614,5115,48,20
2011-08-11 00:00:00,Suban,Australia,S14_1681,Plans,6366,18223,42,7
2008-12-25 00:00:00,Snidha,France,S11_1679,Ships,4303,18393,32,21
2006-01-05 00:00:00,Ramu,Austria,S15_1682,Truks And Buses,4282,15678,44,73
2008-07-13 00:00:00,Snidha,Canada,S12_1680,Plans,4571,12123,10,33
2012-03-04 00:00:00,Mahesh,Germany,S12_1680,Motarcycles,8167,9358,35,30
2005-07-20 00:00:00,Raja,India,S16_1683,Truks And Buses,10648,11203,29,42
2006-08-22 00:00:00,Abhi,Switzerland,S13_1681,Trains,11617,9511,38,74
2012-04-14 00:00:00,Raja,Netherlands,S14_1681,Truks And Buses,10648,8734,31,57
2010-08-24 00:00:00,Kishan,Brazil,S14_1681,Motarcycles,3051,6255,32,35
2008-01-22 00:00:00,Praveen,Austria,S11_1679,Ships,3065,8577,14,75
2006-03-28 00:00:00,Ramu,Canada,S11_1679,Motarcycles,11740,13499,48,33
2009-04-13 00:00:00,Shafi,Switzerland,S15_1682,Truks And Buses,4719,16927,29,74
2006-03-19 00:00:00,Kiran,Switzerland,S15_1682,Vintage cars,8960,19494,47,42
2008-04-06 00:00:00,Mahesh,France,S10_1678,Trains,7857,18480,15,20
2008-09-04 00:00:00,Kishan,Brazil,S10_1678,Truks And Buses,4444,14140,24,79
2011-01-04 00:00:00,Kalyan,Austria,S12_1680,Truks And Buses,5213,12014,36,17
2007-08-06 00:00:00,Suban,France,S14_1681,Ships,6034,15479,20,23
2011-09-28 00:00:00,Abhi,Brazil,S13_1681,Plans,9225,17248,13,23
2006-04-04 00:00:00,Vijay,Switzerland,S16_1683,Classic cars,10990,12885,30,50
2006-02-15 00:00:00,Suban,Netherlands,S13_1681,Motarcycles,5585,6596,12,49
2009-11-28 00:00:00,Kalyan,Switzerland,S13_1681,Truks And Buses,10998,14421,30,47
2007-03-09 00:00:00,Vijay,Germany,S14_1681,Plans,8044,11349,48,31
2011-10-09 00:00:00,Vijay,India,S11_1679,Truks And Buses,6885,7855,39,20
2010-11-20 00:00:00,Iliyaz,France,S14_1681,Trains,8611,19197,17,67
2008-05-11 00:00:00,Praveen,Switzerland,S15_1682,Motarcycles,3033,16794,38,30
2009-04-20 00:00:00,Iliyaz,Canada,S13_1681,Trains,9983,7997,14,17
2005-09-09 00:00:00,Ramu,Canada,S10_1678,Vintage cars,8676,9359,21,38
2009-05-02 00:00:00,Abhi,Germany,S14_1681,Trains,9227,15117,22,56
2012-07-27 00:00:00,Ravi,Australia,S13_1681,Ships,6677,12837,47,69
2008-06-16 00:00:00,Vijay,Austria,S15_1682,Plans,10079,12863,50,77
2011-07-17 00:00:00,Snidha,Switzerland,S11_1679,Plans,4808,16148,46,25
2006-06-02 00:00:00,Kishan,Netherlands,S16_1683,Vintage cars,5290,10968,32,60
2010-04-28 00:00:00,Vijay,Netherlands,S10_1678,Truks And Buses,9404,7218,23,55
2009-01-09 00:00:00,Suban,Austria,S13_1681,Truks And Buses,5284,6719,12,21
2008-08-24 00:00:00,Kiran,Netherlands,S12_1680,Vintage cars,6177,17575,11,16
2011-12-05 00:00:00,Praveen,Canada,S10_1678,Ships,10673,17553,46,8
2012-05-09 00:00:00,Shafi,Switzerland,S14_1681,Motarcycles,9299,8177,28,61
2011-11-22 00:00:00,Iliyaz,Netherlands,S11_1679,Plans,5728,19396,47,10
2008-12-21 00:00:00,Snidha,India,S15_1682,Trains,10539,10892,47,42
2011-06-28 00:00:00,Vijay,India,S16_1683,Motarcycles,9668,19305,27,23
2010-12-03 00:00:00,Vijay,Switzerland,S13_1681,Trains,3199,7957,34,50
2011-09-28 00:00:00,Ravi,Australia,S13_1681,Motarcycles,10849,13475,42,74
2007-04-08 00:00:00,Praveen,Netherlands,S12_1680,Truks And Buses,4136,5184,49,57
2008-11-05 00:00:00,Praveen,Switzerland,S14_1681,Classic cars,7295,9367,21,69
2008-02-27 00:00:00,Kalyan,France,S13_1681,Truks And Buses,5055,14825,21,74
2005-01-08 00:00:00,Shafi,France,S15_1682,Trains,10972,9771,27,7
2012-01-10 00:00:00,Mahesh,France,S10_1678,Motarcycles,5138,17080,15,35
2010-06-08 00:00:00,Kalyan,France,S14_1681,Ships,6374,17784,13,37
2008-01-10 00:00:00,Abhi,Austria,S12_1680,Trains,7814,11626,38,68
2009-09-20 00:00:00,Praveen,Netherlands,S11_1679,Vintage cars,6600,19344,49,64
2005-12-22 00:00:00,Iliyaz,Austria,S12_1680,Plans,10963,14818,40,25
2008-07-01 00:00:00,Praveen,Germany,S11_1679,Vintage cars,8826,7511,33,25
2011-06-27 00:00:00,Praveen,Brazil,S11_1679,Motarcycles,4740,7010,28,77
2006-03-01 00:00:00,Praveen,Austria,S10_1678,Classic cars,3462,11126,48,27
2012-05-08 00:00:00,Raja,Austria,S15_1682,Ships,6168,19090,39,49
2012-10-14 00:00:00,Praveen,Canada,S16_1683,Truks And Buses,11873,5480,46,70
2008-11-24 00:00:00,Kiran,India,S14_1681,Plans,9415,8564,20,18
2007-04-04 00:00:00,Kishan,Australia,S10_1678,Ships,4456,11372,29,19
2010-09-03 00:00:00,Mahesh,Australia,S15_1682,Motarcycles,7568,15106,23,33
2009-03-19 00:00:00,Iliyaz,Switzerland,S11_1679,Classic cars,4788,14850,21,21
2008-06-04 00:00:00,Raja,India,S14_1681,Classic cars,4789,13848,40,37
2005-11-11 00:00:00,Ramu,Australia,S13_1681,Ships,10363,14268,16,68
2012-11-16 00:00:00,Praveen,Switzerland,S13_1681,Motarcycles,11091,6353,16,54
2012-07-21 00:00:00,Vijay,Australia,S12_1680,Classic cars,11052,15018,13,49
2009-02-18 00:00:00,Mahesh,Switzerland,S15_1682,Trains,5269,6597,32,22
2005-09-13 00:00:00,Kishan,India,S14_1681,Motarcycles,9708,9934,16,46
2011-04-21 00:00:00,Kishan,France,S16_1683,Truks And Buses,9934,18953,25,33
2008-10-03 00:00:00,Suban,Brazil,S15_1682,Ships,10910,5639,19,29
2007-08-07 00:00:00,Ravi,India,S12_1680,Ships,10627,18297,43,73
2010-07-24 00:00:00,Kishan,Canada,S14_1681,Vintage cars,8828,6517,23,7
2012-06-10 00:00:00,Snidha,Canada,S14_1681,Classic cars,9815,13379,12,79
2012-02-18 00:00:00,Abhi,Brazil,S16_1683,Plans,11187,16783,17,12
2005-05-12 00:00:00,Iliyaz,Switzerland,S11_1679,Motarcycles,9957,19735,17,36
2006-05-03 00:00:00,Praveen,India,S12_1680,Plans,4099,6962,46,15
2006-05-23 00:00:00,Ravi,Netherlands,S16_1683,Trains,4231,17814,34,52
2007-03-12 00:00:00,Vijay,France,S16_1683,Motarcycles,10404,15390,10,10
2006-09-13 00:00:00,Vijay,Switzerland,S11_1679,Ships,4580,13048,41,45
2010-01-18 00:00:00,Vijay,Netherlands,S13_1681,Plans,10948,13158,24,68
2005-12-26 00:00:00,Mahesh,Switzerland,S16_1683,Motarcycles,9061,14454,22,69
2006-08-09 00:00:00,Suban,Canada,S16_1683,Vintage cars,11273,15317,25,67
2005-11-10 00:00:00,Ramu,Brazil,S12_1680,Trains,9027,6104,41,52
2012-11-05 00:00:00,Ravi,Brazil,S15_1682,Motarcycles,5662,13248,22,54
2011-10-12 00:00:00,Mahesh,India,S10_1678,Vintage cars,11926,8980,47,28
2007-03-24 00:00:00,Ramu,Brazil,S16_1683,Vintage cars,10179,9275,41,71
2005-08-15 00:00:00,Raja,India,S10_1678,Classic cars,8813,12919,33,11
2005-12-10 00:00:00,Kalyan,Australia,S10_1678,Motarcycles,7074,9501,23,71
2009-07-19 00:00:00,Suban,Australia,S15_1682,Motarcycles,10038,6744,48,7
2011-10-20 00:00:00,Kishan,India,S14_1681,Motarcycles,5292,19755,32,38
2007-09-17 00:00:00,Kishan,Canada,S11_1679,Trains,3261,7664,27,64
2012-02-24 00:00:00,Kiran,Canada,S16_1683,Plans,7566,13527,17,20
2008-07-10 00:00:00,Mahesh,Brazil,S15_1682,Truks And Buses,11398,5393,17,56
2006-12-04 00:00:00,Ramu,France,S11_1679,Motarcycles,6864,8421,14,46
2006-09-14 00:00:00,Ramu,Netherlands,S14_1681,Motarcycles,10635,19669,23,55
2007-02-25 00:00:00,Raja,Canada,S10_1678,Plans,8615,17032,23,29
2006-12-01 00:00:00,Kiran,Germany,S12_1680,Trains,4600,11553,14,55
2011-08-06 00:00:00,Kiran,Switzerland,S13_1681,Trains,7745,14010,50,24
2009-06-22 00:00:00,Kalyan,Austria,S11_1679,Classic cars,3827,6343,12,15
2009-07-16 00:00:00,Ramu,Brazil,S11_1679,Trains,3773,16362,33,45
2006-02-10 00:00:00,Abhi,Austria,S12_1680,Ships,4421,15375,39,41
2010-02-19 00:00:00,Vijay,Austria,S13_1681,Motarcycles,6389,17515,14,49
2005-08-28 00:00:00,Raja,Germany,S13_1681,Motarcycles,5944,18990,20,69
2009-08-11 00:00:00,Snidha,Switzerland,S12_1680,Truks And Buses,3021,9928,43,22
2006-05-05 00:00:00,Kishan,Netherlands,S14_1681,Classic cars,5452,18154,44,39
2008-07-24 00:00:00,Suban,Australia,S10_1678,Classic cars,7912,6012,39,13
2008-11-15 00:00:00,Ramu,India,S16_1683,Plans,9025,19644,44,43
2011-10-13 00:00:00,Kalyan,Austria,S10_1678,Vintage cars,10967,8140,36,14
2006-08-19 00:00:00,Suban,Canada,S14_1681,Plans,10556,7349,31,28
2008-08-23 00:00:00,Vijay,Canada,S11_1679,Motarcycles,3757,10505,38,64
2006-06-01 00:00:00,Abhi,France,S14_1681,Classic cars,5449,12082,26,63
2009-07-26 00:00:00,Snidha,Brazil,S16_1683,Motarcycles,9741,14345,28,52
2011-05-05 00:00:00,Suban,India,S13_1681,Truks And Buses,8937,9954,12,57
2005-09-03 00:00:00,Kiran,Australia,S14_1681,Plans,11181,9340,14,31
2012-08-17 00:00:00,Abhi,Germany,S13_1681,Plans,9296,16300,18,58
2009-04-06 00:00:00,Iliyaz,Canada,S11_1679,Trains,4474,12915,25,6
2007-07-17 00:00:00,Kiran,Switzerland,S11_1679,Motarcycles,6050,10356,25,56
2010-09-14 00:00:00,Praveen,Austria,S14_1681,Vintage cars,6590,14108,19,32
2006-01-24 00:00:00,Snidha,Netherlands,S12_1680,Ships,4963,14915,36,29
2005-06-04 00:00:00,Iliyaz,Austria,S14_1681,Trains,5293,18556,17,11
2012-09-24 00:00:00,Suban,Australia,S16_1683,Vintage cars,9908,8594,23,74
2005-03-12 00:00:00,Iliyaz,Austria,S13_1681,Ships,4532,13410,18,57
2005-11-04 00:00:00,Snidha,Switzerland,S10_1678,Classic cars,9081,17643,41,69
2006-07-03 00:00:00,Kishan,Austria,S13_1681,Plans,9270,14728,38,80
2005-02-18 00:00:00,Shafi,Switzerland,S15_1682,Motarcycles,6773,15888,48,58
2012-05-09 00:00:00,Mahesh,Canada,S11_1679,Vintage cars,7608,16090,39,50
2008-01-27 00:00:00,Shafi,Netherlands,S10_1678,Plans,4650,7786,26,55
2005-06-17 00:00:00,Praveen,Australia,S16_1683,Motarcycles,4717,12745,11,59
2007-03-13 00:00:00,Abhi,India,S15_1682,Trains,10747,8038,26,41
2012-12-16 00:00:00,Kiran,Switzerland,S15_1682,Truks And Buses,8748,16539,10,17
2005-05-04 00:00:00,Snidha,Austria,S16_1683,Vintage cars,7961,5807,45,28
2009-06-19 00:00:00,Praveen,Netherlands,S16_1683,Ships,10592,18821,39,5
2007-03-06 00:00:00,Shafi,India,S13_1681,Trains,11061,10949,35,67
2008-03-18 00:00:00,Kishan,Austria,S10_1678,Truks And Buses,8319,10579,19,78
2007-09-09 00:00:00,Ramu,Switzerland,S16_1683,Motarcycles,9618,16177,17,23
2008-09-13 00:00:00,Kishan,Switzerland,S14_1681,Trains,7533,6764,24,6
2009-05-01 00:00:00,Abhi,Switzerland,S15_1682,Motarcycles,9482,5614,24,55
2012-05-20 00:00:00,Shafi,Brazil,S14_1681,Ships,7110,8362,21,78
2011-05-04 00:00:00,Kiran,Austria,S12_1680,Truks And Buses,11856,19539,29,75
2006-03-16 00:00:00,Praveen,Switzerland,S13_1681,Classic cars,10872,6396,16,43
2009-03-22 00:00:00,Mahesh,Canada,S11_1679,Ships,8968,16039,29,16
2011-03-23 00:00:00,Ramu,Germany,S14_1681,Plans,11901,15908,49,15
2010-03-11 00:00:00,Vijay,Australia,S15_1682,Vintage cars,9646,12517,39,39
2010-09-04 00:00:00,Suban,Brazil,S14_1681,Plans,8852,13489,32,62
2011-01-01 00:00:00,Praveen,Switzerland,S12_1680,Ships,6079,10227,43,70
2009-12-05 00:00:00,Praveen,Switzerland,S13_1681,Plans,3403,5403,34,34
